estimate,std_error,t_value,p_value,term,taxon
-0.5278,0.2583,-2.0433,0.0453,Transition:Smoot,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00115
0.7629,0.4468,1.7073,0.0928,Invaded:Smoot,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00135
0.2189,0.3166,0.6916,0.4918,Native:Steptoe,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis mosseae
0.436,0.2134,2.0427,0.0453,Transition:Steptoe,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00197
1.2455,0.4249,2.931,0.0047,Invaded:Steptoe,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00160
-5.7838,0.1878,-30.8043,0,phi.(Intercept),Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00160
-5.2679,0.4005,-13.1529,0,(Intercept),Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00160
0.0548,0.4755,0.1152,0.9087,Transition,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00219
1.5876,0.4625,3.4329,0.0011,Invaded,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Claroideoglomeraceae_Claroideoglomus_Claroideoglomus VTX00056
0.7683,0.5021,1.5301,0.1311,Native:Smoot,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00160
1.1682,0.3544,3.2965,0.0016,Transition:Smoot,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00212
-0.454,0.3839,-1.1825,0.2415,Invaded:Smoot,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00160
-1.2394,0.6879,-1.8016,0.0765,Native:Steptoe,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00212
-0.6308,0.4654,-1.3555,0.1802,Transition:Steptoe,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00219
-2.2039,0.5582,-3.9483,2e-4,Invaded:Steptoe,Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00160
-4.5213,0.2195,-20.6009,0,phi.(Intercept),Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00160
-4.9352,0.3534,-13.9659,0,(Intercept),Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomus_Glomus VTX00135
